Source/Table Type,Workspace Name,Dataflow Name (Source Name),Table Name (Entity Name),Owner (Bus/Dev),Last Model / Catalog Update,Table/Entity Description,Table/Entity Grain,Dependencies
Custom Tables,(DATA) HC Data Warehouse,Shared,Shared DimResponseCard,Kirk,6/16/2023,"This table can be used to identify the response card (template level) information, the main use for this is when joined with the person engagement table to get the response card name",Each row represents a unique response card (not entry but template) by ResponseCardID,
Custom Tables,(DATA) HC Production,Connection Forms,public connection_form_template,,6/16/2023,"This table can be used to identify conneciton form template information, the main use for this is when joined with the person engagement table to get the connection form name",Each row represents a unique connection form template per the id,
Custom Tables,(DATA) HC Production,Notifications,notification notification_recipient,Jeremiah,6/2/2023,"- column is_viewed is only populated for some rows from App source (3),
- manual retry count column has no useful info","the medium by which a notification is received 
0 = All; 1 = Email; 2 = Sms; 3 = App; 4 = Push;
Status column
0 = Unprocessed; 1 = Pending; 2 = Running; 3 = Succeeded; 4 = Failed; 5 = Skipped",
Custom Tables,(DATA) Staffnet,Small Group Health Assessment,dbo Individuals_Assessments,Ron,5/31/2023,Individuals health assessment summary data for one assessment date/time.  Final scores for each of the five purposes.,Each row represents one assessment for a person at a particular time. The user may need to make the grain courser to one assessment per person per day,
Custom Tables,(DATA) HC Production,Custom Serving Ops Tables,Serving Op Occurrences (Spots),Kirk/Kirk,4/27/2023,"This table contains a union of single and recurring serving opportunity occurrences for individuals who signed up to serve and were scheduled for specific days or ranges.  The records in this report should represent the person icon count of scheduled individuals on the serving ops calendar view.
• Please note the following FILTERS: Only serving ops tied to a valid ministry and serving opportunity that were not deleted are included (filters applied on ministry and serving ops side but no filters have been applied to person records). 
• Closed event occurrences are excluded from this report. 
•Only one person should exist per serving spot/occurrence/slot, but there was a bug on signups that allowed a recurring and single serve signup for the same person in the same slot.  
• To prevent counting twice, count distinct on the ""PersonOccurrence_Key"" to get unique filled spots.
•DATE RANGE: This table only contains data for 365 days prior to current day and 365 days future from current date.
• is a custom indicator added for the R&I team, to reflect the serving opportunity volunteers schedule setup; it is based on the serving_opportunity_volunteer_occurrence.occurrence_id column: if NULL then multi service as it will be based on the start - end date and schedule, if it has an occurrence_id then the record only pertains to that one occurrence.  This flag does not indicate the person serving total count, as they may be on a schedule but only one serving opportunity exists right now
• the serving_opportunity_is_draft column is based on public serving_opportunity.is_draft, with no filters applied to this column value
• AS OF LATEST UPDATE ONLY FUTURE MISSING SERVING OPS ARE ADDED PAST MAY BE MISSING SOME SERVING OCCURRENCES","Each row represents a single past serving opportunity occurrence (a single instance of a serving opportunity, for a specific date and time, for a specific person). 
*see note about possible single and recurring of same person in same occurrence.
• To prevent counting twice, count distinct on the ""PersonOccurrence_Key"" to get unique filled spots.
• WARNING: this table is a work in progress, please avoid using unless Kirk Yamada approves",
Custom Tables,(DATA) HC Data Warehouse,Events,Events DimEventAttendeeCheckIn,Kirk/Ron,4/21/2023,"Table containing information about event attendee check in. 
For Child Check Ins (for both kids services and KSG) use the column [IsChildRoomCheckIn].
If someone wants to see whic parent/person checked in a child, simply look at the column [GuardianPersonID]
*THIS TABLE CONTAINS A FIX FOR MERGED PEOPLE, merged/deleted individuals are updated here to match HC Core where if a person is deleted/merged the latest person record after the merge is assigned to each record in the PersonID column.  At a later date this fix will be applied in the DWH layer instead of the DF layers so it can be removed from the DF logic.",one row per event check in,
Custom Tables,(DATA) Staffnet,Small Group Campaigns,custom OneLife_Invite,Kirk/Ron,3/10/2023,"Data for person invites for the One Life Campaign in 2023, invite date represents the day the invite was sent out.  All other columns are in reference to the invites sent on that day.",Each row represents one day where invites were sent out.,
Custom Tables,(DATA) Staffnet,Small Group Campaigns,custom OneLIfe_Registrations,Kirk/Ron,3/10/2023,"All data for this table is aggregated to the small group id (see grain). Multiple registration/reserve events materials reserved are summed into curriculum reserved and the first registration/reserve data is kept.  For pickup, picked up materials are summed and the latest pickup date is kept.",Each row represents one small group s registration and pickup events.  Thus unique on SmallGroup_Id.,
Custom Tables,(DATA) Media,Media Engagements,custom Media_Engagements,Kirk/Ron,2/27/2023,"Media watch metrics by date and location.  This table only includes media for specific categories (this can be added to as needed).  As of 7/22/2021  includes only media category id 54 (Talk it Over).
• The data source is Media Access Log and its updated via a stored procedure. Log entries are created when a person streams a view from anywhere connected to the media server 
• this FORMERLY included but is not limited to Spotify and iTunes and RSS podcast feeds. Podcast data is now in Transistor
• does NOT include Youtube

DATA QUALITY: an individual's IP Address can generate multiple rows by clicking a media players multiple times. This custom dataflow has some processing to deduplicate these records so that a unique IP address for a specific media item is only counted once for one day.

COLUMNS: [MediumType] 0 = Video Engagement & 1 = Document Engagement",Each row represents a single instance a media item was watched per day and per location (by IP address).,
Custom Tables,(DATA) CMC,CMC Checkins,custom SK Milestones,Kirk/Ron,11/28/2022,"* THIS TABLE WILL BE DROPPED - PLEASE REFER TO THE SAME TABLE IN THE NEW LOCATION ""(DATA) CMC > Custom CMC SK Tables"" *
CMC individual milestones based on Staffnet Commlists based on list name ""tags"".",Each row represents a unique milestone for one individual,
Custom Tables,(DATA) CMC,Custom CMC SK Tables,custom SK Milestones,Kirk/Ron,11/28/2022,"CMC individual milestones based on Staffnet Commlists based on list name ""tags"".",Each row represents a unique milestone for one individual,
Custom Tables,(DATA) CMC,Custom CMC SK Tables,custom CMC_SK_Child_CheckInHistory,Kirk/Ron,11/28/2022,Each check in instance is recorded here with relivant person and check in information.  This table is based on CMC SK related child check in data only.,Each row represents a single child check in instance recorded on the legacy CMC system,
Custom Tables,(DATA) CMC,Custom CMC SK Tables,custom CMC_SK_Leader_CheckInHistory,Kirk/Ron,11/28/2022,Each check in instance is recorded here with relivant person and check in information.  This table is based on CMC SK related leader check in data only.,Each row represents a single leader check in instance recorded on the legacy CMC system,
Custom Tables,(DATA) CMC,Custom CMC SK Tables,custom CMC_SK_Child_FirstTimers,Kirk/Ron,11/28/2022,This table contains a list of all the check in instances of children who are considered to be first time check ins based on the CMC system first time check in flag.  This flag is set based on the person checking in slecting the box.  There is no logic to dedup or remove individuals and this data reflects what is stored on the CMC system.  Thus a child can have more than one first time check in record in this table.,Each row represents a single child first time check in instance.  This is based on the individual manually checking the first time check in box thus it may or may not represent true first timers.,
Custom Tables,(DATA) CMC,Custom CMC SK Tables,custom CMC_CheckInHistory_Person,Kirk/Ron,11/28/2022,Both leader and child check in data from the CMC system is unioned into this table.,Each row represents a single child or leader check in instance recorded on the legacy CMC system,
Custom Tables,(DATA) HC Production,Custom HC SK Tables,custom Ministry Member SK Leaders Only,Kirk/Ron,11/28/2022,"Ministry Member table with Active ministry members (person not deleted or deceased), with additional 3 columns: SK leader count flag (per SK logic), SK leader health flag (per SK logic), and leader age.  Only includes people where count or health flag is 1.",Each row represents a unique ministry member (id column),
Custom Tables,(DATA) HC Production,Custom HC SK Tables,custom HC_SK_Child_CheckInHistory,Kirk/Ron,11/28/2022,Each check in instance is recorded here with relivant person and check in information.  This table is based on HC SK related child check in data only.,Each row represents a single child check in instance recorded in HC using the event checkin feature,
Custom Tables,(DATA) HC Production,Custom HC SK Tables,custom HC_SK_Leader_CheckInHistory,Kirk/Ron,11/28/2022,Each check in instance is recorded here with relivant person and check in information.  This table is based on HC SK related leader check in data only.,Each row represents a single leader check in instance recorded in HC using the event checkin feature,
Custom Tables,(DATA) HC Production,Custom HC SK Tables,custom HC_SK_EventRoom,Kirk/Ron,11/28/2022,This table applies to HC realted SK child and leader check ins only.  It provides the event and room information related to a specific check in instance.  This table is unique on the HCSKER key and should onlyl be used by joining this key to the related key in the custom HC_SK_Leader_CheckInHistory and/or custom HC_SK_Child_CheckInHistory tables.,"Each row represents a unique event and room check in instance.  Thus the table is unique on its primary key, the HCSKER key field.",
Custom Tables,(DATA) HC Production,Custom HC SK Tables,custom HC_SK_Child_FirstTimers,Kirk/Ron,11/28/2022,"This table contains a list of all the first time check in instances per the following logic.  The child has been marked as a first time check in on the HC system (milestone) and the child has not checked in at all on the old CMC check in system.
This table should be unique per HC person record and contain true first time check ins only.",Each row represents a single child first time check in instance.  This should be unique based on the description notes.,
Custom Tables,(DATA) HC Production,Saddleback Kids,custom Ministry Member SK Leaders Only,Kirk/Ron,11/28/2022,"* THIS TABLE WILL BE DROPPED - PLEASE REFER TO SAME TABLE IN THE ""(DATA) HC Production > Custom HC SK Tables"" DATAFLOW *
Ministry Member table with Active ministry members (person not deleted or deceased), with additional 3 columns: SK leader count flag (per SK logic), SK leader health flag (per SK logic), and leader age.  Only includes people where count or health flag is 1.",Each row represents a unique ministry member (id column),
Custom Tables,(DATA) HC Production,Ministry,public ministry_group,Jeremiah/Healthy Church,11/4/2022,"Some groups have weird numbers on them: This indicates the groups were carried over from StaffNet. For example, the Saddleback Men ministry at Lake Forest has a group ""Saddleback Men (146272)""

• [group_type] column KEY: 1 = Role, 0 = Group
• this table should be connected to 'public ministry_member' by ministry_id AND campus id",one row per ministry per campus per group/role.,
Custom Tables,(DATA) HC Production,Ministry,public ministry_group_person,Jeremiah/Healthy Church,11/4/2022,this table is a cross reference table between 'public ministry_group' and 'custom DimPerson',one row per person per ministry per campus per group/role,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimServingOpportunity,Jeremiah/Chris Dennis,11/3/2022,Table containing metadata for Serving opportunities,,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimServingOpportunityMembers,Jeremiah/Chris Dennis,11/3/2022,"• contains info describing from what source someone signed up to volunteer in the [MemberSource] column
• Table with information for people registered for serving opportunities",one row per serving opportunity per occurrence per person ID,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimServingOpportunityVolunteerExcludedOccurrences,Jeremiah/Chris Dennis,11/3/2022,,,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Ministry DimServingOpportunityVolunteerOccurrence,Jeremiah/Chris Dennis,11/3/2022,,,
Custom Tables,(DATA) HC Data Warehouse,Ministry,Summary WeeklyMinistryMetrics,Jeremiah/Chris Dennis,11/3/2022,"Summary view of Ministry volunteers per campus per week per month per year. 
• The date of the week is the Monday of any given week. This impacts the columns [WeekStartActiveMembers] and [WeekEndActiveMembers]: the table starts the week on Monday and ends the week on Sunday.  Please keep this in mind when connecting to the date table.
• data is updated weekly
• Active Volunteers are either ""Pending"" or ""Active"" ministry member status
• Churn Rate DEFINITION = Total of New active MINUS (removed or inactive members) for that week, year, campus, and ministry location",one row per ministry per campus per week,
Custom Tables,(DATA) HC Data Warehouse,Custom ResponseCard,FollowUp ResponseCardDetail_Type (Hist DoNotUse),Kirk/Kirk,10/6/2022,"DO NOT USE THIS TABLE FOR REPORTING.
It is only used to identify possible new terms that need to be added to the excel sheet that powers the ""RCWR FinalCategoryLookup"" table.
Table based on response card details table that identifies positive (true/selected by person) responses of: Baptism, Class 101, First Time, and Salvations",Each row represents one unique response card detail Id row as this was the base table used to create this custom table,
Custom Tables,(DATA) HC Data Warehouse,Custom ResponseCard,FollowUp ResponseCardDetail_Type,Kirk/Kirk,10/6/2022,"TABLE USE: This table should only be used in conjunction with the ""RCWR Final CategoryLookup"" table.  This should be done by inner joining the two tables on ""LookupString"" and ""ResponseCardSubFieldLabel"" then bringing in the Category field into the response card detail type table.
Cleanup has already been applied to both join fields so no additional editing should be done.
Use of this table and the other related table identify positive responses to any of the response card count categories.  But assume the following.  A positive count is based on a value of ""true"" or ""x"" and that the lookup for the count category is based on subfield only.
TABLE CONTENTS:
This table contains all rows of the ""followUp RepsonseCardDetail"" DWH table where the response value was considered true.  In addition the sub field label field was cleaned up to use as a join.","Each row represents a unique response card value entry  where the entry value was either ""true"" or ""x""",
Custom Tables,(DATA) HC Data Warehouse,Custom ResponseCard,RCWR FinalCategoryLookup,Kirk/Kirk,10/6/2022,"This table should only be used in conjunction with the ""FollowUp ReponseCardDetail_Type"" table.  See that tables description on how to use.
This table contains the unique lookup strings and their related count category type for response cards.  It gets this based on the excel settings sheet and combines across the counts page and value description page to match the excel sheets flow logic.",Each row represents a unique lookup string and its related response card count category.,
Custom Tables,(DATA) HC Data Warehouse,Person,People FactEngagement,,10/6/2022,"•summary table of PersonEngagement. If a given touchpoint has multiple instances for the person ID, then the last date occurrence and first date occurrence are provided. Also the count of touchpoint instances per touchpointID is provided.
SOURCE = People.PersonEngagement
•For People.FactEngagement filtered with TouchpointID = 16 (Accepted Christ), and 17 (Baptism), some rows have null values in [LastDateTimeID] because their dates were before 1980. 
• Fact table containing summary of each person's touchpoints with the Church
• contains a confidential touchpointID = 61 for ""Last Giving Date"" stretching back to 2004",one row per person per touchpoint,
Custom Tables,(DATA) HC Production,Response Cards,public response_card,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Production,Response Cards,public response_card_entry,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Production,Response Cards,public response_card_entry_value,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Production,Response Cards,public response_card_field,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Production,Response Cards,public response_card_section,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Production,Response Cards,public response_card_sub_field,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them",,
Custom Tables,(DATA) HC Data Warehouse,Followups,FollowUp ResponseCardDetail,,10/4/2022,"• Response Cards are given in the bulletin during the weekend service
• Welcome Cards are given at the Connection Center when someone walks up to them
Table with details of data on a response card",one row per response card entry value (e.g. one row per checkbox/fill-in),
Custom Tables,(DATA) HC Production,Custom HC Tables,custom PersonContact,Kirk/Ron,9/21/2022,"This file contains the contact information that should be used for each individual person in HC.  If the person is deceased or in the status of do not contact then the appropriate contact fields are blanked.

Data for this table is sourced from the following tables: person_contact_preference, person_giving, and reports.status","Each row represents one full primary contact set.
This file should be unique per person but is not because of some data anomalies where a person does not have a single primary contact resulting in duplicate records per person.  See Contact_RecordCnt to identify these dups.",
Custom Tables,(DATA) HC Data Warehouse,Person,People DimPerson,,9/13/2022,"* THIS TABLE WILL BE DROPPED * Use custom DimPerson instead;Table that houses all person records and their primary demograhic (including primary contact data) data as well as some primary key church metrics about a person. Does NOT contain person records from before Staffnet, so historical counts must use FactEngagement table.

PersonID column is the data warehouse Ministry. It is used inside the data warehouse for tables from the ‘People’ schema, ‘Ministry’ schema, etc.  
The HCPersonID is an ID from the Healthy Church database Use HCPersonID column in this table to connect to the person_id column of any other table from the ‘public’ schema.  
UniquePersonID is the ID used on the person record in the Healthy Church Web Tool 

SOURCE = Healthy Church; Staffnet (subset)(legacy one-time load)
Table containing Hc and historical person records with key metadata about the person's journey in the Church",Individual person; 1 record = 1 person record in HC,
Custom Tables,(DATA) ME App,Detailed DailyDevotions,DailyDevotions_Detailed,Kirk,9/12/2022,"This table provides a detailed list of all the devices and sessions that accessed the ME App daily devotions page per day.  Device and session ids are meant only to be used as unique identifiers not to link or display on the report.
To use this table the device or session id should be aggregated and totaled by one or more of the attribute columns (date, login status, region/campus).
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.","Each row is a unique combination of date, device id, session id, login status, and region/campus rollup (rows deduped to ensure this)",
Custom Tables,(DATA) ME App,Detailed DailyVerse,DailyVerse_Detailed,Kirk,9/12/2022,"This table provides a detailed list of all the devices and sessions that accessed the ME App verse of the day page per day.  Device and session ids are meant only to be used as unique identifiers not to link or display on the report.
To use this table the device or session id should be aggregated and totaled by one or more of the attribute columns (date, login status, region/campus).
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.","Each row is a unique combination of date, device id, session id, login status, and region/campus rollup (rows deduped to ensure this)",
Custom Tables,(DATA) ME App,Detailed Tables,Event_Last6Mos,Kirk,9/12/2022,"This table contains all the ME App event related activities with no aggregation or filtering.
Timestamp is the date/time the log record was loaded and eventTime_UTC is the actual time the log event was recorded.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents an ME App event based log event,
Custom Tables,(DATA) ME App,Detailed Tables,PageViews_Last6Mos,Kirk,9/12/2022,"This table contains all the ME App page view related activities with no aggregation or filtering.
Timestamp is the date/time the log record was loaded and eventTime_UTC is the actual time the log event was recorded.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents an ME App page view based log event,
Custom Tables,(DATA) ME App,shared CampusRegion,custom ME CampusRegion,Kirk,9/12/2022,"This table is designed to be used with the ME App tables that have a ""ME RegionCampus ID"" column.  This table provides the rollup name and sort order to display on the report as well as the cross reference values to go from that id to the standard DWH campus and region ids.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a region/campus rollup category,
Custom Tables,(DATA) ME App,Summary Devices,Devices_Summary_Daily,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the ME App on a particular day from a selected campus/region rollup.  Since the same device can appear in multiple campuses and in multiple days data from this table should not be aggregated for consumption.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single day,
Custom Tables,(DATA) ME App,Summary Devices,Devices_Summary_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the ME App in a particular month for a specific campus/region rollup.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a specific month and campus/region rollup,
Custom Tables,(DATA) ME App,Summary Devices,Devices_Summary_Monthly_LogIn,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the ME App in a particular month for a specific campus/region rollup AND was logged in to HC within the app.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a specific month and campus/region rollup,
Custom Tables,(DATA) ME App,Summary Devices,Devices_Summary_Monthly_NotLogIn,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the ME App in a particular month for a specific campus/region rollup AND was NOT logged in to HC within the app.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a specific month and campus/region rollup,
Custom Tables,(DATA) ME App,Summary Giving,Giving_Summary_Daily,Kirk,9/12/2022,"This table provides the total number of unique devices that access the giving page though the ME App by date.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single day,
Custom Tables,(DATA) ME App,Summary Giving,Giving_Summary_ByLogIn_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the giving page though the ME App by month and by HC logged in status.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a month and HC logged in status,
Custom Tables,(DATA) ME App,Summary Giving,Giving_Summary_Devices_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed the giving page for each region/campus rollup by month.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a region/campus rollup and month,
Custom Tables,(DATA) ME App,Summary Giving,Giving_Summary_Sessions_Monthly,Kirk,9/12/2022,"This table provides that total number of unique sessions with at least one giving navigation in the ME App for that month.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single month,
Custom Tables,(DATA) ME App,Summary NewDevices,NewDevices_Detailed,Kirk,9/12/2022,"This table was not meant to be consumed for reporting, it is only required as a historical file to aid in the generation of the NewDevices_Summary_Daily file.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a unique device identifier and the first date it was captured in the ME App log (events or page views file),
Custom Tables,(DATA) ME App,Summary NewDevices,NewDevices_Summary_Daily,Kirk,9/12/2022,"This table provides the number of new (first time this device id has been seen accessing the ME App) devices that accessed the ME App by date first seen.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single day,
Custom Tables,(DATA) ME App,Summary Sessions,Sessions_Summary_Daily,Kirk,9/12/2022,"This table provides the total number of unique sessions count per day, per campus, and per ME App HC log in status.  It is assumed as session will only take place in one of each of these, thus any overlap has been deduped.  So all unique session counts can be totaled across categories for consumption.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.","Each row represents the total number of unique sessions for a specific day, related to a specific campus/region rollup and HC log in status type",
Custom Tables,(DATA) ME App,Summary Sessions,Sessions_Summary_Daily_Dur,Kirk,9/12/2022,"This table provides the total number of unique sessions with a duration greater than zero seconds as well as the total duration of all sessions taking place on that day.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents the totals for a specific day,
Custom Tables,(DATA) ME App,Summary SmallGroups,SG_Sessions_Summary_Daily,Kirk,9/12/2022,"This table provides the total number of unique sessions that accessed a specific type of small group page via the ME App.  There are two different small group related pages a person can visit and they are broken out here as looking to join a small group or viewing their current small group account.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single day and small group navigation type within the ME App,
Custom Tables,(DATA) ME App,Summary SmallGroups,SG_Devices_Summary_Daily,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed a specific type of small group page via the ME App.  There are two different small group related pages a person can visit and they are broken out here as looking to join a small group or viewing their current small group account.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single day and small group navigation type within the ME App,
Custom Tables,(DATA) ME App,Summary SmallGroups,SG_Devices_Summary_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed a specific type of small group page via the ME App aggregated to the monthly level.  There are two different small group related pages a person can visit and they are broken out here as looking to join a small group or viewing their current small group account.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single month and small group navigation type within the ME App,
Custom Tables,(DATA) ME App,Summary SmallGroups,SG_Tot_Devices_Summary_ByLogIn_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed any of the ME App small group pages broken out by the users HC login status and month.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single month and HC login status type within the ME App,Metrics.DimDemographic
Custom Tables,(DATA) ME App,Summary SmallGroups,SG_Tot_Devices_Summary_Monthly,Kirk,9/12/2022,"This table provides the total number of unique devices that accessed any of the ME App small group pages broken out by the campus/region rollup and month.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.",Each row represents a single month and rollup/campus id,"• Shared DimCampus
• Summary CampusRegionJunction
• Summary Region"
Custom Tables,(DATA) ME App,Summary Videos,Videos_Summary_Daily,Kirk,9/12/2022,"This table provides the total ME App video watch time, and video watch counts by day, region/campus rollup, and HC logged in status within the app.
The ""ME RegionCampus ID"" should (only) be joined to the same id in the ""custom ME CampusRegion"" table.  The rollup names as well as campus/rollup cross reference ids can be found there.
*There is additional detailed documentation available (""ME App Custom Tables Build Details.docx"") which can be found in the SharePoint/teams drive.","Each row represents a day, specific region/campus rollup, and HC login status type along with the totals/values for that unique combination",
Custom Tables,(INT) Reporting Team,Internal Reporting,custom V2_Trickle_Exceptions,Ron,9/6/2022,Trickle (originating from V2) that fail from the integration inbound log from staffnet to HC,,
Custom Tables,(DATA) HC Production,ME_App_General,Event,,7/29/2022,*TABLE DROPPED*,,
Custom Tables,(DATA) HC Production,ME_App_General,PageViews,,7/29/2022,*TABLE DROPPED*,,
Custom Tables,(DATA) HC Production,ME_App_General LEGACY,Event_Legacy,,7/29/2022,"*TABLE DROPPED*
ME App data structured to match original input file for the ME App report v1.0.  This dataflow is no longer needed and the ""Event"" dataflow should be used instead",,
Custom Tables,(DATA) HC Production,ME_App_General LEGACY,PageViews_Legacy,,7/29/2022,"*TABLE DROPPED*
ME App data structured to match original input file for the ME App report v1.0.  This dataflow is no longer needed and the ""Event"" dataflow should be used instead",,
Custom Tables,(DATA) HC Data Warehouse,Custom DWH Tables,custom DimCampus,Kirk/Ron,7/26/2022,"Standard shared DimCampus table with the addition of the ""Excl_Ext_Ind"" column.  This column is manually calculated based on the reporting teams requirements and is meant to be used to exclude all ""campuses"" that should not be in standard reports.  0 = Standard Campus for Reports, 1 = Extension for Reports Requireing Extensions, 2 = Exclude Off Most Reports",Each row represents a single campus/extension/location entity in the datawarehouse,
Custom Tables,(DATA) HC Production,Custom HC Tables,custom Food_Pantry_Salvations,Heather/Ron,7/26/2022,"*THIS TABLE WILL BE DROPPED* Use (DATA) HC Data Warehouse > DWH_HC Tables > custom PersonLastEngagement instead.
This table contains all the individuals who had a food pantry salvation based on the person note field.  This report shows any note and associated person data, where the note contains 1st contact language relating to a food pantry.  According to the process this should only be done for individuals who had a food pantry related salvation.",Each row represents a single valid food pantry note entry.  It is possible for there to be duplicate people in this table.,
Custom Tables,(DATA) Media,Media Engagements,custom Podcast_Viewer,Jeremiah/Ron,7/26/2022,"The videos specific users based on user IP watched on a specific day.  Since some devices ping multiple times records are deduped down to the user IP, day, and media title/video level.",Each row represents a unique RemoteUserIDNumber and MediaTitle per AccessDate (unique IP address and video watched per day),
Custom Tables,(DATA) Media,Media Engagements,custom Podcast_Unique_Viewer_IPs,Jeremiah/Ron,7/26/2022,This table allows the custom Podcast_Viewer ips to be cross referenced to a location.  Each unique IP address is assigned to a location (city) based on the IP range it falls into.,Each row represents a single RemoteUserIPNumber,
Custom Tables,(DATA) HC Data Warehouse,Shared,Shared DimCampus (~ 8/2022 dropped; use custom DimCampus),,7/19/2022,"* THIS TABLE HAS BEEN DROPPED * Use custom DimCampus instead;
Table containing metadata for each campus as defined on HC",,
Custom Tables,(DATA) HC Data Warehouse,Shared,Shared DimDate (~ 8/2022 dropped; use custom DimDate),,7/18/2022,"*THIS TABLE HAS BEEN DROPPED* Use custom DimDate instead;
Date calendar table that functions as key reference to warehouse date metrics",,
